time_start,time_end,label,score
0:00:00,0:00:05,lunge,0.8423475
0:00:05,0:00:10,push up,0.40674073
0:00:10,0:00:15,push up,0.565416
0:00:15,0:00:20,push up,0.272953
0:00:20,0:00:25,push up,0.7629224
0:00:25,0:00:30,pull ups,0.37619463
0:00:30,0:00:35,pull ups,0.99951684
0:00:35,0:00:40,pull ups,0.9994368
0:00:40,0:00:45,pull ups,0.99968624
0:00:45,0:00:50,pull ups,0.7492925
0:00:50,0:00:55,bench pressing,0.50437886
0:00:55,0:01:00,squat,0.7320849
0:01:00,0:01:05,squat,0.9964365
0:01:05,0:01:10,squat,0.992101
0:01:10,0:01:15,squat,0.97290975
0:01:15,0:01:20,squat,0.83409363
0:01:20,0:01:25,pull ups,0.34023067
0:01:25,0:01:30,deadlifting,0.7731723
0:01:30,0:01:35,bench pressing,0.98617005
0:01:35,0:01:40,bench pressing,0.8875108
0:01:40,0:01:45,bench pressing,0.9869359
0:01:45,0:01:50,bench pressing,0.9604247
0:01:50,0:01:55,bench pressing,0.95712805
0:01:55,0:02:00,pull ups,0.35025072
0:02:00,0:02:05,bench pressing,0.28481865
0:02:05,0:02:10,bench pressing,0.42679623
0:02:10,0:02:15,bench pressing,0.31342587
0:02:15,0:02:20,bench pressing,0.5841389
0:02:20,0:02:25,pull ups,0.42874953
0:02:25,0:02:30,squat,0.92939585
0:02:30,0:02:35,squat,0.9639767
0:02:35,0:02:40,squat,0.96936584
0:02:40,0:02:45,squat,0.9808957
0:02:45,0:02:50,squat,0.7274637
0:02:50,0:02:55,pull ups,0.5756704
0:02:55,0:03:00,lunge,0.50395656
0:03:00,0:03:05,pull ups,0.9999584
0:03:05,0:03:10,pull ups,0.99998784
0:03:10,0:03:15,pull ups,0.99999607
0:03:15,0:03:20,pull ups,0.99996054
0:03:20,0:03:25,pull ups,0.5050421
0:03:25,0:03:30,pull ups,0.31326994
0:03:30,0:03:35,squat,0.56652486
0:03:35,0:03:40,squat,0.98480356
0:03:40,0:03:45,squat,0.9934516
0:03:45,0:03:50,squat,0.98845136
0:03:50,0:03:55,squat,0.6233116
0:03:55,0:04:00,bench pressing,0.9318465
0:04:00,0:04:05,bench pressing,0.96076274
0:04:05,0:04:10,pull ups,0.98949885
0:04:10,0:04:15,pull ups,0.9999958
0:04:15,0:04:20,pull ups,0.99999547
0:04:20,0:04:25,pull ups,0.9999937
0:04:25,0:04:30,pull ups,0.9546537
0:04:30,0:04:35,situp,0.5661273
0:04:35,0:04:40,lunge,0.67303234
0:04:40,0:04:45,bench pressing,0.4057494
0:04:45,0:04:50,lunge,0.42537257
0:04:50,0:04:55,lunge,0.7116819
0:04:55,0:05:00,lunge,0.55793023
0:05:00,0:05:05,pull ups,0.5562963
0:05:05,0:05:10,pull ups,0.8748442
0:05:10,0:05:15,pull ups,0.56529045
0:05:15,0:05:20,lunge,0.4903177
0:05:20,0:05:25,situp,0.8843176
0:05:25,0:05:30,lunge,0.52164024
0:05:30,0:05:35,lunge,0.2869704
0:05:35,0:05:40,situp,0.4501446
0:05:40,0:05:45,lunge,0.40542695
0:05:45,0:05:50,lunge,0.403665
0:05:50,0:05:55,lunge,0.41844383
