time_start,time_end,label,score
0:00:00,0:00:05,exersising arm,0.33623487
0:00:05,0:00:10,pull ups,0.9778364
0:00:10,0:00:15,pull ups,0.9752558
0:00:15,0:00:20,pull ups,0.9749187
0:00:20,0:00:25,pull ups,0.9750019
0:00:25,0:00:30,pull ups,0.97415876
0:00:30,0:00:35,pull ups,0.96580553
0:00:35,0:00:40,pull ups,0.9769811
0:00:40,0:00:45,pull ups,0.7184028
0:00:45,0:00:50,bench pressing,0.9987105
0:00:50,0:00:55,bench pressing,0.98777056
0:00:55,0:01:00,bench pressing,0.57767224
0:01:00,0:01:05,exersising arm,0.996234
0:01:05,0:01:10,exersising arm,0.5682719
0:01:10,0:01:15,pull ups,0.97039366
0:01:15,0:01:20,pull ups,0.9774474
0:01:20,0:01:25,pull ups,0.9717576
0:01:25,0:01:30,pull ups,0.9780472
0:01:30,0:01:35,pull ups,0.7450238
0:01:35,0:01:40,bench pressing,0.98818016
0:01:40,0:01:45,bench pressing,0.99269414
0:01:45,0:01:50,bench pressing,0.9590905
0:01:50,0:01:55,bench pressing,0.7846681
0:01:55,0:02:00,bench pressing,0.51801014
0:02:00,0:02:05,bench pressing,0.99579334
0:02:05,0:02:10,bench pressing,0.99720097
0:02:10,0:02:15,pull ups,0.9701325
0:02:15,0:02:20,bench pressing,0.6945558
0:02:20,0:02:25,exersising arm,0.601256
0:02:25,0:02:30,exersising arm,0.9363648
0:02:30,0:02:35,exersising arm,0.5453008
0:02:35,0:02:40,bench pressing,0.6532817
0:02:40,0:02:45,bench pressing,0.8848753
0:02:45,0:02:50,exersising arm,0.9619461
0:02:50,0:02:55,exersising arm,0.95450675
0:02:55,0:03:00,exersising arm,0.9787652
0:03:00,0:03:05,exersising arm,0.9876802
0:03:05,0:03:10,exersising arm,0.99380255
0:03:10,0:03:15,exersising arm,0.5733149
0:03:15,0:03:20,bench pressing,0.9080966
0:03:20,0:03:25,bench pressing,0.6653383
0:03:25,0:03:30,exersising arm,0.98295236
0:03:30,0:03:35,exersising arm,0.8211844
0:03:35,0:03:40,bench pressing,0.97674066
0:03:40,0:03:45,bench pressing,0.9623212
0:03:45,0:03:50,bench pressing,0.638982
0:03:50,0:03:55,bench pressing,0.9904518
0:03:55,0:04:00,bench pressing,0.97067106
0:04:00,0:04:05,bench pressing,0.99770504
0:04:05,0:04:10,bench pressing,0.9978759
0:04:10,0:04:15,bench pressing,0.998629
0:04:15,0:04:20,bench pressing,0.9985393
0:04:20,0:04:25,bench pressing,0.41119668
0:04:25,0:04:30,bench pressing,0.50179404
0:04:30,0:04:35,bench pressing,0.74062735
0:04:35,0:04:40,bench pressing,0.34046745
0:04:40,0:04:45,bench pressing,0.348185
0:04:45,0:04:50,bench pressing,0.38914114
0:04:50,0:04:55,pull ups,0.27026415
0:04:55,0:05:00,exersising arm,0.67140687
0:05:00,0:05:05,bench pressing,0.8170991
0:05:05,0:05:10,exersising arm,0.8844908
0:05:10,0:05:15,exersising arm,0.97620744
0:05:15,0:05:20,exersising arm,0.9957515
0:05:20,0:05:25,exersising arm,0.9848658
0:05:25,0:05:30,bench pressing,0.98963135
0:05:30,0:05:35,bench pressing,0.99553585
0:05:35,0:05:40,bench pressing,0.9975223
0:05:40,0:05:45,bench pressing,0.99923
0:05:45,0:05:50,bench pressing,0.99964416
0:05:50,0:05:55,bench pressing,0.99910295
0:05:55,0:06:00,exersising arm,0.6423331
0:06:00,0:06:05,exersising arm,0.9959033
0:06:05,0:06:10,exersising arm,0.97151
0:06:10,0:06:15,exersising arm,0.97018945
0:06:15,0:06:20,front raises,0.93550366
0:06:20,0:06:25,exersising arm,0.7771752
0:06:25,0:06:30,bench pressing,0.85288745
0:06:30,0:06:35,bench pressing,0.64221936
0:06:35,0:06:40,bench pressing,0.9951894
0:06:40,0:06:45,bench pressing,0.97603095
0:06:45,0:06:50,bench pressing,0.9093464
0:06:50,0:06:55,front raises,0.4147518
0:06:55,0:07:00,front raises,0.59412354
0:07:00,0:07:05,exersising arm,0.5168795
0:07:05,0:07:10,front raises,0.5527558
0:07:10,0:07:15,exersising arm,0.4810028
