time_start,time_end,label,score
0:00:00,0:00:05,situp,0.27172327
0:00:05,0:00:10,lunge,0.5625808
0:00:10,0:00:15,situp,0.73306423
0:00:15,0:00:20,lunge,0.644574
0:00:20,0:00:25,front raises,0.34241694
0:00:25,0:00:30,front raises,0.53449494
0:00:30,0:00:35,lunge,0.30643293
0:00:35,0:00:40,exersising arm,0.7513468
0:00:40,0:00:45,exersising arm,0.76035863
0:00:45,0:00:50,lunge,0.3399142
0:00:50,0:00:55,lunge,0.59735745
0:00:55,0:01:00,pull ups,0.82057095
0:01:00,0:01:05,pull ups,0.7315629
0:01:05,0:01:10,pull ups,0.7945017
0:01:10,0:01:15,pull ups,0.6854152
0:01:15,0:01:20,pull ups,0.5821559
0:01:20,0:01:25,exersising arm,0.29674235
0:01:25,0:01:30,deadlifting,0.51769495
0:01:30,0:01:35,deadlifting,0.9999926
0:01:35,0:01:40,deadlifting,0.9835096
0:01:40,0:01:45,pull ups,0.7135066
0:01:45,0:01:50,pull ups,0.822435
0:01:50,0:01:55,pull ups,0.65229994
0:01:55,0:02:00,pull ups,0.9031119
0:02:00,0:02:05,deadlifting,0.541713
0:02:05,0:02:10,deadlifting,0.95083576
0:02:10,0:02:15,deadlifting,0.87655705
0:02:15,0:02:20,deadlifting,0.9959996
0:02:20,0:02:25,deadlifting,0.9897988
0:02:25,0:02:30,deadlifting,0.99992037
0:02:30,0:02:35,deadlifting,0.9985702
0:02:35,0:02:40,bench pressing,0.87296754
0:02:40,0:02:45,bench pressing,0.84154904
0:02:45,0:02:50,pull ups,0.96529615
0:02:50,0:02:55,pull ups,0.96952224
0:02:55,0:03:00,pull ups,0.9737509
0:03:00,0:03:05,deadlifting,0.9318017
0:03:05,0:03:10,lunge,0.40507334
0:03:10,0:03:15,deadlifting,0.53134626
0:03:15,0:03:20,deadlifting,0.9896926
0:03:20,0:03:25,deadlifting,0.9770422
0:03:25,0:03:30,deadlifting,0.99996936
0:03:30,0:03:35,deadlifting,1.0
0:03:35,0:03:40,deadlifting,1.0
0:03:40,0:03:45,deadlifting,0.99975806
0:03:45,0:03:50,pull ups,0.9386881
0:03:50,0:03:55,pull ups,0.96989495
0:03:55,0:04:00,pull ups,0.87849957
0:04:00,0:04:05,pull ups,0.93446714
0:04:05,0:04:10,pull ups,0.9534822
0:04:10,0:04:15,pull ups,0.96472824
0:04:15,0:04:20,pull ups,0.9856076
0:04:20,0:04:25,pull ups,0.9364199
0:04:25,0:04:30,pull ups,0.9424205
0:04:30,0:04:35,deadlifting,0.9999994
0:04:35,0:04:40,deadlifting,0.99050295
0:04:40,0:04:45,deadlifting,0.9994892
0:04:45,0:04:50,deadlifting,0.93903553
0:04:50,0:04:55,exersising arm,0.69667923
0:04:55,0:05:00,situp,0.3707722
0:05:00,0:05:05,situp,0.4685949
0:05:05,0:05:10,situp,0.4019436
0:05:10,0:05:15,situp,0.52356863
0:05:15,0:05:20,pull ups,0.84784865
0:05:20,0:05:25,pull ups,0.74836326
0:05:25,0:05:30,pull ups,0.8706829
0:05:30,0:05:35,pull ups,0.93943536
0:05:35,0:05:40,pull ups,0.85357505
0:05:40,0:05:45,deadlifting,0.9983211
0:05:45,0:05:50,deadlifting,1.0
0:05:50,0:05:55,deadlifting,0.9977035
0:05:55,0:06:00,deadlifting,0.99999845
0:06:00,0:06:05,deadlifting,0.999907
0:06:05,0:06:10,pull ups,0.540231
0:06:10,0:06:15,deadlifting,0.99999774
0:06:15,0:06:20,deadlifting,0.999923
0:06:20,0:06:25,deadlifting,0.9999845
0:06:25,0:06:30,deadlifting,1.0
0:06:30,0:06:35,deadlifting,1.0
0:06:35,0:06:40,deadlifting,1.0
0:06:40,0:06:45,deadlifting,0.99999964
0:06:45,0:06:50,deadlifting,0.9999995
0:06:50,0:06:55,deadlifting,0.99999976
0:06:55,0:07:00,deadlifting,0.9999994
0:07:00,0:07:05,deadlifting,0.9985513
0:07:05,0:07:10,pull ups,0.8130864
0:07:10,0:07:15,front raises,0.6475312
0:07:15,0:07:20,exersising arm,0.5002715
0:07:20,0:07:25,front raises,0.59269947
0:07:25,0:07:30,front raises,0.5759078
