time_start,time_end,label,score
0:00:00,0:00:05,front raises,0.9993774
0:00:05,0:00:10,front raises,0.9997557
0:00:10,0:00:15,exersising arm,0.6006783
0:00:15,0:00:20,pull ups,0.6022208
0:00:20,0:00:25,deadlifting,0.41925827
0:00:25,0:00:30,deadlifting,0.9608002
0:00:30,0:00:35,deadlifting,0.9853806
0:00:35,0:00:40,deadlifting,0.91049165
0:00:40,0:00:45,deadlifting,0.9990952
0:00:45,0:00:50,deadlifting,0.96769965
0:00:50,0:00:55,deadlifting,0.99980026
0:00:55,0:01:00,deadlifting,0.994663
0:01:00,0:01:05,deadlifting,0.75598574
0:01:05,0:01:10,deadlifting,0.99922717
0:01:10,0:01:15,deadlifting,0.9993605
0:01:15,0:01:20,pull ups,0.3965629
0:01:20,0:01:25,front raises,0.99157
0:01:25,0:01:30,squat,0.99743015
0:01:30,0:01:35,squat,0.9971762
0:01:35,0:01:40,squat,0.9829631
0:01:40,0:01:45,squat,0.9976031
0:01:45,0:01:50,squat,0.880433
0:01:50,0:01:55,squat,0.99787307
0:01:55,0:02:00,squat,0.9897434
0:02:00,0:02:05,squat,0.99365133
0:02:05,0:02:10,front raises,0.8695491
0:02:10,0:02:15,front raises,0.978956
0:02:15,0:02:20,front raises,0.9843888
0:02:20,0:02:25,front raises,0.99200916
0:02:25,0:02:30,squat,0.9999814
0:02:30,0:02:35,squat,0.9999238
0:02:35,0:02:40,squat,0.9999485
0:02:40,0:02:45,front raises,0.95386434
0:02:45,0:02:50,front raises,0.9915946
0:02:50,0:02:55,pull ups,0.3991519
0:02:55,0:03:00,front raises,0.9252888
0:03:00,0:03:05,deadlifting,0.3444403
0:03:05,0:03:10,squat,0.9999639
0:03:10,0:03:15,squat,0.99994266
0:03:15,0:03:20,squat,0.99998
0:03:20,0:03:25,squat,0.9681227
0:03:25,0:03:30,front raises,0.8125849
0:03:30,0:03:35,front raises,0.94911957
0:03:35,0:03:40,front raises,0.9505796
0:03:40,0:03:45,squat,0.9996451
0:03:45,0:03:50,squat,0.99961984
0:03:50,0:03:55,squat,0.99963796
0:03:55,0:04:00,front raises,0.6889533
0:04:00,0:04:05,front raises,0.96897405
0:04:05,0:04:10,front raises,0.965529
0:04:10,0:04:15,front raises,0.96086985
0:04:15,0:04:20,front raises,0.7660942
0:04:20,0:04:25,front raises,0.6944841
0:04:25,0:04:30,front raises,0.6921874
0:04:30,0:04:35,front raises,0.715938
0:04:35,0:04:40,front raises,0.5995422
0:04:40,0:04:45,front raises,0.771669
0:04:45,0:04:50,front raises,0.25430346
