time_start,time_end,label,score
0:00:00,0:00:05,situp,0.29594207
0:00:05,0:00:10,front raises,0.5494354
0:00:10,0:00:15,situp,0.5948336
0:00:15,0:00:20,exersising arm,0.4126045
0:00:20,0:00:25,exersising arm,0.6472827
0:00:25,0:00:30,situp,0.46542165
0:00:30,0:00:35,exersising arm,0.48406592
0:00:35,0:00:40,exersising arm,0.33654016
0:00:40,0:00:45,situp,0.94341993
0:00:45,0:00:50,exersising arm,0.46353695
0:00:50,0:00:55,exersising arm,0.9149403
0:00:55,0:01:00,exersising arm,0.6539119
0:01:00,0:01:05,exersising arm,0.6536767
0:01:05,0:01:10,exersising arm,0.9878863
0:01:10,0:01:15,exersising arm,0.46675694
0:01:15,0:01:20,situp,0.4957176
0:01:20,0:01:25,exersising arm,0.5242815
0:01:25,0:01:30,situp,0.44127175
0:01:30,0:01:35,situp,0.49202818
0:01:35,0:01:40,situp,0.62399924
0:01:40,0:01:45,situp,0.8118477
0:01:45,0:01:50,exersising arm,0.78631604
0:01:50,0:01:55,situp,0.6295865
0:01:55,0:02:00,exersising arm,0.45795015
0:02:00,0:02:05,situp,0.48329937
0:02:05,0:02:10,situp,0.5184381
0:02:10,0:02:15,exersising arm,0.41895506
0:02:15,0:02:20,situp,0.29504693
0:02:20,0:02:25,situp,0.28569898
0:02:25,0:02:30,front raises,0.5689503
0:02:30,0:02:35,front raises,0.5241754
0:02:35,0:02:40,push up,0.91934735
0:02:40,0:02:45,push up,0.9863235
0:02:45,0:02:50,push up,0.96876836
0:02:50,0:02:55,push up,0.98433936
0:02:55,0:03:00,front raises,0.875959
0:03:00,0:03:05,push up,0.74337685
0:03:05,0:03:10,push up,0.47107852
0:03:10,0:03:15,push up,0.67016315
0:03:15,0:03:20,front raises,0.56888694
0:03:20,0:03:25,front raises,0.7321769
0:03:25,0:03:30,push up,0.6645017
0:03:30,0:03:35,front raises,0.49722788
0:03:35,0:03:40,push up,0.5226787
0:03:40,0:03:45,front raises,0.5947694
0:03:45,0:03:50,push up,0.6247362
0:03:50,0:03:55,front raises,0.9341
0:03:55,0:04:00,front raises,0.84048724
0:04:00,0:04:05,front raises,0.560313
0:04:05,0:04:10,front raises,0.8459007
0:04:10,0:04:15,exersising arm,0.74953914
0:04:15,0:04:20,front raises,0.68344027
0:04:20,0:04:25,front raises,0.9739188
0:04:25,0:04:30,front raises,0.44774833
0:04:30,0:04:35,front raises,0.6012247
0:04:35,0:04:40,exersising arm,0.44064263
0:04:40,0:04:45,exersising arm,0.26357812
0:04:45,0:04:50,front raises,0.96332026
0:04:50,0:04:55,front raises,0.36921972
0:04:55,0:05:00,front raises,0.33176777
0:05:00,0:05:05,front raises,0.9738883
0:05:05,0:05:10,situp,0.18319003
0:05:10,0:05:15,running on treadmill,0.3784653
0:05:15,0:05:20,front raises,0.7251644
0:05:20,0:05:25,front raises,0.560996
0:05:25,0:05:30,push up,0.36341876
0:05:30,0:05:35,front raises,0.9902699
0:05:35,0:05:40,exersising arm,0.27253196
0:05:40,0:05:45,front raises,0.9667799
0:05:45,0:05:50,front raises,0.630242
0:05:50,0:05:55,front raises,0.23205374
0:05:55,0:06:00,front raises,0.6751726
0:06:00,0:06:05,front raises,0.8879755
0:06:05,0:06:10,front raises,0.93839675
0:06:10,0:06:15,front raises,0.92439204
0:06:15,0:06:20,pull ups,0.41245237
0:06:20,0:06:25,pull ups,0.7200473
0:06:25,0:06:30,front raises,0.7867271
0:06:30,0:06:35,front raises,0.8035503
0:06:35,0:06:40,pull ups,0.32174897
0:06:40,0:06:45,front raises,0.24691333
0:06:45,0:06:50,front raises,0.9721877
0:06:50,0:06:55,pull ups,0.3676048
0:06:55,0:07:00,pull ups,0.630864
0:07:00,0:07:05,front raises,0.6708719
0:07:05,0:07:10,front raises,0.98439664
0:07:10,0:07:15,pull ups,0.55829287
0:07:15,0:07:20,front raises,0.6290574
0:07:20,0:07:25,front raises,0.4687841
0:07:25,0:07:30,front raises,0.48049498
0:07:30,0:07:35,bench pressing,0.53842646
0:07:35,0:07:40,pull ups,0.41415697
0:07:40,0:07:45,front raises,0.52822906
0:07:45,0:07:50,front raises,0.5048176
0:07:50,0:07:55,pull ups,0.46678728
0:07:55,0:08:00,front raises,0.32693535
0:08:00,0:08:05,squat,0.3170621
0:08:05,0:08:10,squat,0.36611527
0:08:10,0:08:15,bench pressing,0.9998128
0:08:15,0:08:20,bench pressing,0.9971372
0:08:20,0:08:25,front raises,0.7271745
0:08:25,0:08:30,front raises,0.51542693
0:08:30,0:08:35,bench pressing,0.99799407
0:08:35,0:08:40,bench pressing,0.613143
0:08:40,0:08:45,squat,0.54805493
0:08:45,0:08:50,squat,0.3587255
0:08:50,0:08:55,running on treadmill,0.36287138
0:08:55,0:09:00,front raises,0.4545117
0:09:00,0:09:05,bench pressing,0.9998652
0:09:05,0:09:10,bench pressing,0.99990284
0:09:10,0:09:15,front raises,0.33400154
0:09:15,0:09:20,front raises,0.728692
0:09:20,0:09:25,front raises,0.6583827
0:09:25,0:09:30,running on treadmill,0.35943586
0:09:30,0:09:35,bench pressing,0.9999137
0:09:35,0:09:40,bench pressing,0.999998
0:09:40,0:09:45,bench pressing,0.9547248
0:09:45,0:09:50,front raises,0.43800265
0:09:50,0:09:55,squat,0.57376486
0:09:55,0:10:00,front raises,0.6467846
0:10:00,0:10:05,bench pressing,0.999209
0:10:05,0:10:10,bench pressing,0.9999478
0:10:10,0:10:15,bench pressing,0.9999815
0:10:15,0:10:20,bench pressing,0.99998593
0:10:20,0:10:25,situp,0.74799407
0:10:25,0:10:30,front raises,0.36711404
0:10:30,0:10:35,front raises,0.47877127
