time_start,time_end,label,score
0:00:00,0:00:05,front raises,0.35231668
0:00:05,0:00:10,bench pressing,0.9848875
0:00:10,0:00:15,bench pressing,0.9990839
0:00:15,0:00:20,bench pressing,0.99998343
0:00:20,0:00:25,bench pressing,0.94690406
0:00:25,0:00:30,bench pressing,0.9986327
0:00:30,0:00:35,bench pressing,1.0
0:00:35,0:00:40,pull ups,0.7040848
0:00:40,0:00:45,pull ups,0.9999912
0:00:45,0:00:50,pull ups,0.9999949
0:00:50,0:00:55,pull ups,0.9999956
0:00:55,0:01:00,pull ups,0.99994755
0:01:00,0:01:05,pull ups,0.9998031
0:01:05,0:01:10,pull ups,0.9990508
0:01:10,0:01:15,pull ups,0.9995499
0:01:15,0:01:20,deadlifting,0.87386066
0:01:20,0:01:25,deadlifting,0.9693647
0:01:25,0:01:30,deadlifting,0.9993206
0:01:30,0:01:35,deadlifting,0.99876994
0:01:35,0:01:40,deadlifting,0.9999099
0:01:40,0:01:45,deadlifting,0.99972945
0:01:45,0:01:50,deadlifting,0.9997428
0:01:50,0:01:55,deadlifting,0.99987113
0:01:55,0:02:00,deadlifting,0.99993217
0:02:00,0:02:05,deadlifting,0.9999387
0:02:05,0:02:10,deadlifting,0.9993975
0:02:10,0:02:15,deadlifting,0.99949014
0:02:15,0:02:20,deadlifting,0.9999981
0:02:20,0:02:25,deadlifting,0.99991584
0:02:25,0:02:30,deadlifting,0.99994063
0:02:30,0:02:35,deadlifting,0.9853998
0:02:35,0:02:40,deadlifting,0.9982383
0:02:40,0:02:45,deadlifting,0.6656948
0:02:45,0:02:50,deadlifting,0.91668224
0:02:50,0:02:55,deadlifting,0.9899138
0:02:55,0:03:00,deadlifting,0.99269557
0:03:00,0:03:05,pull ups,0.99028337
0:03:05,0:03:10,pull ups,0.9962411
0:03:10,0:03:15,pull ups,0.99949825
0:03:15,0:03:20,pull ups,0.9823874
0:03:20,0:03:25,lunge,0.80827516
0:03:25,0:03:30,lunge,0.40917236
0:03:30,0:03:35,lunge,0.8854869
0:03:35,0:03:40,front raises,0.27431974
0:03:40,0:03:45,lunge,0.6667189
0:03:45,0:03:50,lunge,0.7241096
0:03:50,0:03:55,lunge,0.7280907
0:03:55,0:04:00,lunge,0.7225513
0:04:00,0:04:05,lunge,0.72845304
